lr-SGD,step,train_loss,epoch,val_loss,val_acc,test_loss,test_acc
0.006056434538075556,49,,,,,,
,49,1.8536343574523926,0,,,,
0.012209772964813598,99,,,,,,
,99,1.565160870552063,0,,,,
0.02191205367015049,149,,,,,,
,149,1.5703567266464233,0,,,,
,156,,0,1.469915509223938,0.4620000123977661,,
0.034297917575748876,199,,,,,,
,199,1.6542919874191284,1,,,,
0.04826265331535596,249,,,,,,
,249,1.2926422357559204,1,,,,
0.06256072788329355,299,,,,,,
,299,1.164538025856018,1,,,,
,313,,1,1.5100728273391724,0.521399974822998,,
0.0759168773487517,349,,,,,,
,349,0.9758711457252502,2,,,,
0.08713984931009584,399,,,,,,
,399,0.8409795165061951,2,,,,
0.09522865225124535,449,,,,,,
,449,0.9963012933731079,2,,,,
,470,,2,1.3127095699310303,0.5795000195503235,,
0.09946183528136425,499,,,,,,
,499,0.7406238317489624,3,,,,
0.09989727004843828,549,,,,,,
,549,0.6241504549980164,3,,,,
0.09907796153772187,599,,,,,,
,599,0.8285132050514221,3,,,,
,627,,3,0.8896080851554871,0.7077999711036682,,
0.09745279753938403,649,,,,,,
,649,0.6447923183441162,4,,,,
0.09504846320134738,699,,,,,,
,699,0.5977567434310913,4,,,,
0.09190443762697105,749,,,,,,
,749,0.5364172458648682,4,,,,
,784,,4,0.7879358530044556,0.7243000268936157,,
0.08807234562926505,799,,,,,,
,799,0.5692977905273438,5,,,,
0.0836151100528878,849,,,,,,
,849,0.5274264216423035,5,,,,
0.07860591858277646,899,,,,,,
,899,0.7364868521690369,5,,,,
,941,,5,0.5981770753860474,0.7912999987602234,,
0.07312702200438373,949,,,,,,
,949,0.4694262146949768,6,,,,
0.0672683836480545,999,,,,,,
,999,0.47070011496543884,6,,,,
0.06112620219362893,1049,,,,,,
,1049,0.4736727774143219,6,,,,
,1098,,6,0.5911386013031006,0.7986999750137329,,
0.054801332090778906,1099,,,,,,
,1099,0.4025087356567383,7,,,,
0.048397627531732754,1149,,,,,,
,1149,0.4606354534626007,7,,,,
0.042020237168310055,1199,,,,,,
,1199,0.4177718758583069,7,,,,
0.035773877573965704,1249,,,,,,
,1249,0.46583348512649536,7,,,,
,1255,,7,0.5394617915153503,0.8105000257492065,,
0.029761113800548935,1299,,,,,,
,1299,0.3451235890388489,8,,,,
0.024080675262987412,1349,,,,,,
,1349,0.3664945960044861,8,,,,
0.0188258346050237,1399,,,,,,
,1399,0.3004629909992218,8,,,,
,1412,,8,0.46760156750679016,0.8411999940872192,,
0.014082876164983646,1449,,,,,,
,1449,0.290449321269989,9,,,,
0.009929679189326548,1499,,,,,,
,1499,0.3092752993106842,9,,,,
0.006434439057571355,1549,,,,,,
,1549,0.2806248962879181,9,,,,
,1569,,9,0.36684566736221313,0.8783000111579895,,
,1570,,10,,,0.374737024307251,0.8744000196456909
