trial_no,A_aug1_type,A_aug1_magnitude,A_aug2_type,A_aug2_magnitude,B_aug1_type,B_aug1_magnitude,B_aug2_type,B_aug2_magnitude,C_aug1_type,C_aug1_magnitude,C_aug2_type,C_aug2_magnitude,D_aug1_type,D_aug1_magnitude,D_aug2_type,D_aug2_magnitude,E_aug1_type,E_aug1_magnitude,E_aug2_type,E_aug2_magnitude,mean_late_val_acc,expected_accuracy_increase(%)
37,coarse-dropout,0.064,emboss,0.641,horizontal-flip,0.386,horizontal-flip,0.973,translate-y,0.634,horizontal-flip,0.954,sharpen,0.936,gaussian-blur,0.656,translate-x,0.058,horizontal-flip,0.137,0.644,22.800000000000004
93,emboss,0.533,coarse-dropout,0.737,sharpen,0.109,horizontal-flip,0.999,add-to-hue-and-saturation,0.485,additive-gaussian-noise,0.962,brighten,0.761,horizontal-flip,0.164,emboss,0.048,translate-x,0.45,0.641,22.500000000000004
51,sharpen,0.846,gamma-contrast,0.517,invert,0.641,horizontal-flip,0.764,horizontal-flip,0.762,horizontal-flip,0.199,emboss,0.426,rotate,0.026,fog,0.004,dropout,0.98,0.634,21.800000000000004
60,brighten,0.829,brighten,0.232,crop,0.978,horizontal-flip,0.844,brighten,0.07,horizontal-flip,0.241,coarse-salt-pepper,0.509,fog,0.028,horizontal-flip,0.967,emboss,0.958,0.632,21.6
83,horizontal-flip,0.446,coarse-dropout,0.706,brighten,0.867,horizontal-flip,0.983,shear,0.744,horizontal-flip,0.995,crop,0.681,coarse-dropout,0.185,gamma-contrast,0.001,gamma-contrast,0.111,0.628,21.200000000000003
44,invert,0.701,clouds,0.406,shear,0.528,horizontal-flip,0.207,invert,0.271,horizontal-flip,0.696,sharpen,0.435,sharpen,0.01,vertical-flip,0.025,vertical-flip,0.119,0.624,20.8
49,add-to-hue-and-saturation,0.822,translate-x,0.356,coarse-dropout,0.985,horizontal-flip,0.984,translate-x,0.002,coarse-dropout,0.69,vertical-flip,0.848,coarse-dropout,0.005,brighten,0.312,invert,0.07,0.623,20.700000000000003
41,coarse-dropout,0.473,dropout,0.831,brighten,0.709,horizontal-flip,0.998,sharpen,0.884,gaussian-blur,0.992,add-to-hue-and-saturation,0.14,emboss,0.902,add-to-hue-and-saturation,0.027,add-to-hue-and-saturation,0.603,0.621,20.5
42,invert,0.545,add-to-hue-and-saturation,0.172,coarse-dropout,0.656,horizontal-flip,0.999,invert,0.235,emboss,0.984,crop,0.685,dropout,0.144,gamma-contrast,0.198,shear,0.46,0.618,20.200000000000003
63,coarse-dropout,0.759,dropout,0.827,crop,0.711,horizontal-flip,0.532,sharpen,0.752,horizontal-flip,0.813,invert,0.642,add-to-hue-and-saturation,0.827,emboss,0.079,emboss,0.925,0.617,20.1
40,add-to-hue-and-saturation,0.565,sharpen,0.144,translate-y,0.418,horizontal-flip,0.986,add-to-hue-and-saturation,0.806,sharpen,0.95,gaussian-blur,0.407,shear,0.018,gaussian-blur,0.012,clouds,0.46,0.616,20.0
16,gaussian-blur,0.939,translate-x,0.67,invert,0.423,crop,0.999,add-to-hue-and-saturation,0.294,brighten,0.982,translate-x,0.565,brighten,0.054,sharpen,0.011,invert,0.169,0.613,19.7
95,invert,0.952,fog,0.467,clouds,0.49,horizontal-flip,0.126,brighten,0.937,rotate,0.029,rotate,0.3,coarse-dropout,0.01,dropout,0.077,translate-y,0.933,0.612,19.6
96,sharpen,0.592,coarse-dropout,0.528,clouds,0.532,horizontal-flip,0.963,crop,0.187,horizontal-flip,0.034,additive-gaussian-noise,0.459,coarse-dropout,0.0,invert,0.883,gamma-contrast,0.994,0.61,19.400000000000002
47,rotate,0.038,coarse-salt-pepper,0.334,coarse-dropout,0.843,horizontal-flip,0.518,gaussian-blur,0.87,translate-y,0.992,add-to-hue-and-saturation,0.081,translate-y,0.087,sharpen,0.245,horizontal-flip,0.826,0.609,19.3
64,brighten,0.665,shear,0.311,coarse-salt-pepper,0.412,horizontal-flip,0.843,dropout,0.644,horizontal-flip,0.964,emboss,0.345,horizontal-flip,0.068,translate-y,0.953,translate-y,0.638,0.608,19.2
87,translate-y,0.714,brighten,0.034,vertical-flip,0.644,horizontal-flip,0.344,invert,0.324,crop,0.273,gaussian-blur,0.951,clouds,0.025,additive-gaussian-noise,0.071,clouds,0.943,0.603,18.7
97,coarse-salt-pepper,0.68,gaussian-blur,0.365,emboss,0.429,horizontal-flip,0.991,gamma-contrast,0.489,brighten,0.022,crop,0.839,shear,0.076,horizontal-flip,0.985,invert,0.578,0.602,18.6
73,coarse-dropout,0.75,clouds,0.061,vertical-flip,0.868,horizontal-flip,0.156,sharpen,0.094,fog,0.722,coarse-dropout,0.06,translate-x,0.195,crop,0.766,horizontal-flip,0.899,0.601,18.5
58,coarse-dropout,0.472,invert,0.605,shear,0.924,horizontal-flip,0.972,gaussian-blur,0.471,fog,0.897,horizontal-flip,0.88,coarse-dropout,0.289,clouds,0.93,add-to-hue-and-saturation,0.932,0.6,18.4
